ADK,ANC,1190
ADQ,ANC,252
AKN,ANC,288
ALW,SEA,212
ANC,ADK,1190
ANC,BET,398
ANC,ORD,2841
ANC,CDV,159
ANC,DEN,2401
ANC,DLG,328
ANC,DUT,790
ANC,FAI,261
ANC,HNL,2782
ANC,JNU,569
ANC,OGG,2803
ANC,AKN,288
ANC,ADQ,252
ANC,OTZ,548
ANC,LAX,2345
ANC,OME,538
ANC,PDX,1540
ANC,SCC,626
ANC,SEA,1446
ATL,SEA,2180
AUS,SEA,1771
BET,ANC,398
BIL,PDX,678
BIL,SEA,663
BLI,HNL,2718
BLI,LAS,956
BLI,PDX,222
BLI,SEA,94
BOI,LWS,198
BOI,PDX,344
BOI,SMF,438
BOI,SJC,523
BOI,SEA,398
BOS,PDX,2533
BOS,SEA,2491
BRW,ANC,724
BRW,FAI,502
BUR,SEA,939
BZN,PDX,552
BZN,SEA,541
CDV,ANC,159
CDV,YAK,212
DCA,LAX,2308
DCA,PDX,2347
DCA,SEA,2325
DEN,ANC,2401
DEN,SEA,1021
DFW,SEA,1660
DLG,ANC,328
EAT,SEA,98
EUG,PDX,106
EUG,SEA,234
EWR,SEA,2397
FAI,ANC,261
FAI,BRW,502
FAI,SCC,373
FAI,SEA,1532
FAT,PDX,628
FAT,SAN,314
FAT,SEA,750
FCA,SEA,378
FLL,SEA,2717
GDL,LAX,1310
GDL,SMF,1663
GDL,SJC,1614
GEG,PDX,278
GEG,SEA,223
GST,JNU,41
GTF,HLN,67
GTF,SEA,511
HLN,GTF,67
HLN,SEA,490
HNL,ANC,2782
HNL,BLI,2718
HNL,OAK,2409
HNL,PDX,2605
HNL,SAN,2613
HNL,SJC,2417
HNL,SEA,2679
IAH,SEA,1874
JNU,ANC,569
JNU,GST,41
JNU,KTN,237
JNU,PSG,123
JNU,SEA,909
JNU,SIT,94
JNU,YAK,198
KOA,OAK,2380
KOA,PDX,2611
KOA,SJC,2386
KOA,SEA,2692
KTN,JNU,237
KTN,SEA,676
KTN,SIT,183
KTN,WRG,84
LAP,LAX,837
LAS,BLI,956
LAS,PDX,764
LAS,SEA,868
LAX,ANC,2345
LAX,GDL,1310
LAX,ZIH,1536
LAX,LAP,837
LAX,LTO,694
LAX,MMH,256
LAX,ZLO,1342
LAX,MZT,1048
LAX,MFR,631
LAX,MEX,1555
LAX,PDX,835
LAX,PVR,1219
LAX,SJC,308
LAX,SJD,913
LAX,STS,400
LAX,SEA,956
LAX,SUN,697
LAX,YVR,1082
LAX,DCA,2308
LIH,OAK,2458
LIH,PDX,2633
LIH,SJC,2467
LIH,SEA,2703
LTO,LAX,694
LWS,BOI,198
LWS,PUW,26
LWS,SEA,261
MCI,SEA,1487
MCO,SAN,2146
MCO,SEA,2552
MEX,LAX,1555
MFR,LAX,631
MFR,PDX,223
MFR,SEA,352
MIA,SEA,2724
MMH,LAX,256
MRY,SAN,376
MSO,PDX,417
MSO,SEA,388
MSP,SEA,1396
MZT,LAX,1048
OAK,HNL,2409
OAK,OGG,2350
OAK,LIH,2458
OAK,KOA,2380
OAK,PDX,544
OAK,SEA,673
OGG,ANC,2803
